"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Arsenal","Premier League","Reiss Nelson","ENG","FW","24-312",1999,0,2,0,1,1,0,0,2,0,0,NA,0,NA,1,4,4,0,0,0,0,0,1,0,"https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson"
2025,"Arsenal","Premier League","Ethan Nwaneri","ENG","MF,FW","17-210",2007,0.1,15,0,3,6,6,1,15,3,2,66.7,0,0,10,109,81,3,1,1,1,1,10,3,"https://fbref.com/en/players/7f94982c/Ethan-Nwaneri"
2025,"Arsenal","Premier League","Thomas Partey","GHA","MF,DF","31-126",1993,6.9,419,21,86,211,123,4,419,3,2,66.7,0,0,217,888,433,2,6,0,3,7,282,6,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
2025,"Arsenal","Premier League","David Raya","ESP","GK","29-032",1995,7,247,174,235,12,0,0,247,0,0,NA,0,NA,149,877,584,0,0,0,0,0,123,0,"https://fbref.com/en/players/98ea5115/David-Raya"
2025,"Arsenal","Premier League","Declan Rice","ENG","MF","25-277",1999,5.5,298,11,41,127,132,15,298,5,2,40,3,60,158,861,471,16,10,4,4,7,192,23,"https://fbref.com/en/players/1c7012b8/Declan-Rice"
2025,"Arsenal","Premier League","Bukayo Saka","ENG","MF,FW","23-042",2001,6.3,331,3,20,71,242,59,331,30,14,46.7,14,46.7,200,1220,692,31,6,17,11,15,225,75,"https://fbref.com/en/players/bc7dc64d/Bukayo-Saka"
2025,"Arsenal","Premier League","William Saliba","FRA","DF","23-207",2001,7,474,43,195,267,15,2,474,4,4,100,0,0,285,1241,658,3,2,0,2,2,356,0,"https://fbref.com/en/players/972aeb2a/William-Saliba"
2025,"Arsenal","Premier League","Raheem Sterling","ENG","MF,FW","29-314",1994,1,42,0,0,8,34,9,42,7,5,71.4,1,14.3,35,296,165,5,2,6,1,3,32,8,"https://fbref.com/en/players/b400bde0/Raheem-Sterling"
2025,"Arsenal","Premier League","Jurriën Timber","NED","DF","23-122",2001,5,254,17,63,112,82,11,254,10,6,60,4,40,117,546,213,7,1,3,3,2,129,17,"https://fbref.com/en/players/41034650/Jurrien-Timber"
2025,"Arsenal","Premier League","Takehiro Tomiyasu","JPN","DF","25-347",1998,0.1,7,1,4,1,2,1,7,0,0,NA,0,NA,1,7,5,0,0,0,0,0,2,0,"https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu"
2025,"Arsenal","Premier League","Leandro Trossard","BEL","FW","29-318",1994,3.8,147,2,20,42,87,25,147,11,4,36.4,6,54.5,85,586,223,10,8,3,4,10,106,20,"https://fbref.com/en/players/38ceb24a/Leandro-Trossard"
2025,"Arsenal","Premier League","Ben White","ENG","DF","27-009",1997,4.5,224,18,69,113,43,3,224,2,0,0,1,50,109,392,203,1,3,1,4,1,133,8,"https://fbref.com/en/players/35e413f1/Ben-White"
2025,"Arsenal","Premier League","Oleksandr Zinchenko","UKR","DF","27-307",1996,0.9,69,5,20,37,13,2,69,1,1,100,0,0,33,232,64,1,2,0,1,1,37,2,"https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko"
2025,"Arsenal","Premier League","Martin Ødegaard","NOR","MF","25-305",1998,2.8,127,1,11,55,64,16,127,9,5,55.6,4,44.4,83,575,216,8,2,5,2,6,94,11,"https://fbref.com/en/players/79300479/Martin-Odegaard"
2025,"Aston Villa","Premier League","Leon Bailey","JAM","FW,MF","27-069",1997,3.9,164,4,24,44,100,15,164,15,5,33.3,5,33.3,114,710,393,18,4,9,12,8,123,28,"https://fbref.com/en/players/3a233281/Leon-Bailey"
2025,"Aston Villa","Premier League","Ross Barkley","ENG","MF","30-317",1993,2.4,165,5,22,97,49,3,165,2,1,50,1,50,104,513,240,7,5,1,2,2,119,2,"https://fbref.com/en/players/3a24769f/Ross-Barkley"
2025,"Aston Villa","Premier League","Lamare Bogarde","NED","DF","20-286",2004,1.9,117,6,31,71,16,0,117,2,1,50,0,0,72,326,157,3,3,0,2,5,79,5,"https://fbref.com/en/players/bca5c4a7/Lamare-Bogarde"
2025,"Aston Villa","Premier League","Emi Buendía","ARG","MF,FW","27-297",1996,0.2,16,0,1,9,7,0,16,0,0,NA,0,NA,12,37,33,2,2,0,1,1,13,4,"https://fbref.com/en/players/66b76d44/Emi-Buendia"
2025,"Aston Villa","Premier League","Diego Carlos","BRA","DF","31-216",1993,2.9,205,24,90,114,3,0,205,0,0,NA,0,NA,161,696,349,1,2,0,0,0,157,0,"https://fbref.com/en/players/b4a014b1/Diego-Carlos"
2025,"Aston Villa","Premier League","Matty Cash","POL","DF","27-071",1997,2.1,122,9,42,50,30,4,122,2,1,50,1,50,64,383,186,5,8,0,0,0,68,4,"https://fbref.com/en/players/2389cdc2/Matty-Cash"
2025,"Aston Villa","Premier League","Lucas Digne","FRA","DF","31-089",1993,5.8,365,21,120,105,143,1,365,3,2,66.7,1,33.3,185,768,291,2,3,0,4,5,205,27,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
2025,"Aston Villa","Premier League","Jhon Durán","COL","FW","20-309",2003,2.1,95,5,9,41,46,18,95,9,2,22.2,7,77.8,55,178,82,2,1,0,5,7,72,13,"https://fbref.com/en/players/414184f7/Jhon-Duran"
2025,"Aston Villa","Premier League","Ezri Konsa","ENG","DF","26-360",1997,6.1,393,29,144,211,40,5,393,3,1,33.3,2,66.7,254,1351,799,8,6,0,4,0,279,4,"https://fbref.com/en/players/0313a347/Ezri-Konsa"
2025,"Aston Villa","Premier League","Ian Maatsen","NED","DF,MF","22-221",2002,1.4,101,2,24,36,42,5,101,3,1,33.3,2,66.7,48,202,99,3,3,1,3,3,50,10,"https://fbref.com/en/players/cab9634e/Ian-Maatsen"
2025,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","32-045",1992,7,255,186,253,2,0,0,255,1,1,100,0,0,162,751,472,0,0,0,1,0,134,0,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2025,"Aston Villa","Premier League","John McGinn","SCO","FW,MF","29-365",1994,3.9,154,1,22,67,66,11,154,7,4,57.1,1,14.3,77,486,238,10,2,2,7,4,112,20,"https://fbref.com/en/players/90f91999/John-McGinn"
2025,"Aston Villa","Premier League","Kosta Nedeljković","SRB","DF","18-306",2005,1.1,49,4,10,24,15,0,49,2,1,50,1,50,20,75,28,1,0,0,1,0,23,0,"https://fbref.com/en/players/c70be9cf/Kosta-Nedeljkovic"
2025,"Aston Villa","Premier League","Amadou Onana","BEL","MF","23-062",2001,4.7,254,17,67,143,49,6,254,5,3,60,1,20,140,645,341,6,5,0,4,5,151,3,"https://fbref.com/en/players/828657ff/Amadou-Onana"
2025,"Aston Villa","Premier League","Jaden Philogene Bidace","ENG","FW,MF","22-252",2002,1.5,52,3,10,15,27,3,52,4,1,25,1,25,27,127,48,0,1,0,2,0,28,6,"https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace"
2025,"Aston Villa","Premier League","Jacob Ramsey","ENG","FW,MF","23-142",2001,3.7,188,5,21,65,107,15,188,12,9,75,3,25,136,905,367,14,8,7,8,6,156,29,"https://fbref.com/en/players/1544f145/Jacob-Ramsey"
2025,"Aston Villa","Premier League","Morgan Rogers","ENG","MF,FW","22-083",2002,6.7,265,11,42,113,118,30,265,35,14,40,16,45.7,156,1034,627,19,14,7,19,17,172,39,"https://fbref.com/en/players/2e5915f1/Morgan-Rogers"
2025,"Aston Villa","Premier League","Youri Tielemans","BEL","MF","27-163",1997,6.9,528,22,104,313,115,6,528,12,7,58.3,4,33.3,315,1154,517,6,9,1,5,6,382,7,"https://fbref.com/en/players/56f7a928/Youri-Tielemans"
2025,"Aston Villa","Premier League","Pau Torres","ESP","DF","27-275",1997,7,505,48,193,279,35,1,505,5,5,100,0,0,364,2246,1431,18,11,0,2,2,385,4,"https://fbref.com/en/players/532e1e4f/Pau-Torres"
2025,"Aston Villa","Premier League","Ollie Watkins","ENG","FW","28-292",1995,5.9,126,0,3,41,83,32,126,9,0,0,8,88.9,82,358,165,8,6,5,15,14,104,32,"https://fbref.com/en/players/aed3a70f/Ollie-Watkins"
2025,"Atalanta","Serie A","Mitchel Bakker","NED","MF","24-119",2000,0.2,10,0,2,5,3,0,10,0,0,NA,0,NA,6,23,15,0,0,0,0,0,7,1,"https://fbref.com/en/players/a8567629/Mitchel-Bakker"
2025,"Atalanta","Serie A","Raoul Bellanova","ITA","DF","24-153",2000,4.2,198,5,32,74,95,5,198,11,4,36.4,5,45.5,105,592,273,7,4,1,7,1,124,32,"https://fbref.com/en/players/e3756e72/Raoul-Bellanova"
2025,"Atalanta","Serie A","Marco Brescianini","ITA","MF","24-271",2000,4.1,146,1,17,68,64,11,146,8,3,37.5,4,50,95,793,429,14,8,6,7,8,109,21,"https://fbref.com/en/players/dfd56738/Marco-Brescianini"
2025,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","24-108",2000,6,180,153,180,0,0,0,180,0,0,NA,0,NA,100,482,268,0,0,0,0,0,92,0,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2025,"Atalanta","Serie A","Federico Cassa","ITA","MF,FW","18-259",2006,0.2,9,0,1,2,6,0,9,1,0,0,1,100,9,61,41,1,2,1,0,0,8,2,"https://fbref.com/en/players/5f209d47/Federico-Cassa"
2025,"Atalanta","Serie A","Juan Cuadrado","COL","DF","36-144",1988,0.7,66,1,7,19,40,6,66,5,2,40,2,40,40,215,136,7,9,2,1,1,48,13,"https://fbref.com/en/players/0ab1f153/Juan-Cuadrado"
2025,"Atalanta","Serie A","Charles De Ketelaere","BEL","MF,FW","23-221",2001,5.2,266,1,9,111,152,29,266,22,10,45.5,12,54.5,170,1195,676,20,18,9,10,10,206,47,"https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere"
2025,"Atalanta","Serie A","Berat Djimsiti","ALB","DF","31-241",1993,6,396,36,156,205,36,6,396,1,1,100,0,0,207,1246,713,8,10,0,2,0,253,10,"https://fbref.com/en/players/6eee05f1/Berat-Djimsiti"
2025,"Atalanta","Serie A","Éderson","BRA","MF","25-102",1999,6.6,424,10,75,236,118,15,424,11,5,45.5,4,36.4,261,1088,470,3,8,2,15,9,319,16,"https://fbref.com/en/players/a9202def/Ederson"
2025,"Atalanta","Serie A","Ben Godfrey","ENG","DF","26-276",1998,0.3,11,0,2,8,1,1,11,0,0,NA,0,NA,5,17,1,0,0,0,1,0,8,1,"https://fbref.com/en/players/9f7c837d/Ben-Godfrey"
2025,"Atalanta","Serie A","Isak Hien","SWE","DF","25-278",1999,3.3,203,19,95,103,5,2,203,2,1,50,1,50,114,516,186,1,1,0,1,4,127,0,"https://fbref.com/en/players/12806697/Isak-Hien"
2025,"Atalanta","Serie A","Sead Kolašinac","BIH","DF","31-119",1993,3.9,271,11,79,142,51,7,271,4,2,50,2,50,153,651,429,10,12,0,1,3,187,14,"https://fbref.com/en/players/3935e52e/Sead-Kolasinac"
2025,"Atalanta","Serie A","Odilon Kossounou","CIV","DF","23-287",2001,1.7,105,3,36,59,10,0,105,1,0,0,1,100,66,361,158,1,2,0,2,0,71,1,"https://fbref.com/en/players/1f3afdcb/Odilon-Kossounou"
2025,"Atalanta","Serie A","Ademola Lookman","NGA","MF,FW","26-363",1997,3.1,182,0,14,53,121,33,181,15,10,66.7,5,33.3,111,648,360,16,11,8,7,10,136,41,"https://fbref.com/en/players/7c104bb7/Ademola-Lookman"
2025,"Atalanta","Serie A","Alberto Manzoni","ITA","MF","19-114",2005,0.1,14,0,3,10,1,0,14,0,0,NA,0,NA,8,25,12,0,0,0,0,0,13,0,"https://fbref.com/en/players/08cda374/Alberto-Manzoni"
2025,"Atalanta","Serie A","Juan Musso","ARG","GK","30-164",1994,1,35,30,35,0,0,0,35,0,0,NA,0,NA,12,91,48,0,0,0,0,0,10,0,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2025,"Atalanta","Serie A","Marco Palestra","ITA","DF","19-228",2005,0.5,40,1,9,15,16,4,40,1,0,0,1,100,22,118,80,2,1,1,1,0,26,4,"https://fbref.com/en/players/1f1828dd/Marco-Palestra"
2025,"Atalanta","Serie A","Mario Pašalić","CRO","MF","29-251",1995,4.9,356,10,53,219,88,16,355,2,0,0,2,100,238,1155,602,6,8,0,5,6,283,11,"https://fbref.com/en/players/e599253a/Mario-Pasalic"
2025,"Atalanta","Serie A","Mateo Retegui","ITA","FW","25-171",1999,5.3,153,4,4,56,94,35,151,8,2,25,6,75,99,328,64,1,3,0,14,8,135,40,"https://fbref.com/en/players/e7695e6c/Mateo-Retegui"
