"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url","Att (GK)_Passes"
2025,"Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","34-137",1990,6,16,1,0,3,0,16.8,0.42,0.8,0.14,28,84,33.3,NA,28,40,36.3,33,42.4,38.1,114,5,4.4,6,1,13.7,"https://fbref.com/en/players/47064058/Oliver-Baumann",175
2025,"Holstein Kiel","Bundesliga","Timon Weiner","GER","GK","25-273",1999,6,19,2,1,2,1,13.9,0.28,-4.1,-0.69,43,107,40.2,NA,32,43,34.9,38,55.3,43.4,123,8,6.5,1,0.17,8.4,"https://fbref.com/en/players/1fb2d1b0/Timon-Weiner",200
2025,"Inter","Serie A","Yann Sommer","SUI","GK","35-305",1988,7,9,1,0,1,0,8.7,0.24,-0.3,-0.05,7,25,28,NA,31,10.2,23.9,25,12,25.2,76,2,2.6,4,0.57,14,"https://fbref.com/en/players/420c18a1/Yann-Sommer",216
2025,"Ipswich Town","Premier League","Arijanet Muric","KVX","GK","25-345",1998,6,12,1,0,0,0,12.4,0.36,0.4,0.07,20,57,35.1,NA,34,22.2,27.1,25,68,52.8,76,13,17.1,5,0.83,12.7,"https://fbref.com/en/players/99aa1a84/Arijanet-Muric",180
2025,"Ipswich Town","Premier League","Christian Walton","ENG","GK","28-343",1995,1,2,0,0,0,0,2.3,0.47,0.3,0.33,6,14,42.9,NA,7,33.3,30.4,6,33.3,31.3,16,1,6.3,1,1,13.8,"https://fbref.com/en/players/c666574f/Christian-Walton",36
2025,"Juventus","Serie A","Michele Di Gregorio","ITA","GK","27-082",1997,5,1,1,0,0,0,1.5,0.1,0.5,0.09,12,33,36.4,NA,19,18,27.2,24,45.8,40.8,62,8,12.9,2,0.4,10.2,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio",122
2025,"Juventus","Serie A","Mattia Perin","ITA","GK","31-342",1992,2,0,0,0,0,0,1.3,0.26,1.3,0.64,2,11,18.2,NA,10,19,28.3,3,0,19.7,14,0,0,2,1,20,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin",58
2025,"Las Palmas","La Liga","Jasper Cillessen","NED","GK","35-178",1989,7,13,2,0,1,1,12.1,0.27,0.1,0.01,24,72,33.3,NA,42,23.7,27.5,33,30.3,35.5,92,4,4.3,9,1.29,18.9,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen",262
2025,"Las Palmas","La Liga","Dinko Horkaš","CRO","GK","25-221",1999,2,4,0,0,0,0,3.1,0.32,-0.9,-0.44,6,14,42.9,NA,7,15.1,26.1,7,42.9,30.4,26,0,0,6,3,24.4,"https://fbref.com/en/players/8fafc04d/Dinko-Horkas",73
2025,"Lazio","Serie A","Ivan Provedel","ITA","GK","30-214",1994,7,11,2,0,1,0,9.3,0.31,-1.7,-0.24,32,86,37.2,NA,25,37.8,35.8,14,28.6,34.1,77,9,11.7,6,0.86,11.8,"https://fbref.com/en/players/277da414/Ivan-Provedel",217
